operation_date,document_number,debit,credit,amount,direction,counterparty_name,counterparty_inn,counterparty_kpp,counterparty_account,counterparty_bik,counterparty_bank_name,payment_purpose,debtor_code,document_type,source_file,source_file_path,source_file_hash,source_sheet,source_row_number
2025-05-01,250341,1690.0,0.0,-1690.0,debit,"АО ""АЛЬФА-БАНК""",7728168971,,47423810901690006942,044525593,"АО ""АЛЬФА-БАНК"" г Москва","Комиссия за обсл.счета за период с 01.04.25 по 30.04.25 по ПУ ""Активный бизнес"" Осн.тарифы Банка,НДС не облаг. ООО ""СЛАДКИЙ ГОРОДОК""",,Платежное требование,Выписка_40702810101690000356_01.05.2025–30.04.2026.xlsx,Данные/Выписки и данные/Выписка_40702810101690000356_01.05.2025–30.04.2026.xlsx,4b76869776b0396f99416042e2ef48c62c74d63100f729374e86b291584bc8a1,Выписка по счёту,4098
2025-05-05,1614,0.0,16857.6,16857.6,credit,"ООО ""ТОРГСЕРВИС 71""",7106023201,710601001,40702810966000007592,047003608,ТУЛЬСКОЕ ОТДЕЛЕНИЕ N8604 ПАО СБЕРБАНК г Тула,Оплата за товар согласно договору поставки № тс71/2025-6 от 20.11.2024 Тула Парковая 7а. Сумма 16857-60 В т.ч. НДС(10%) 1532-51,,Платежное поручение,Выписка_40702810101690000356_01.05.2025–30.04.2026.xlsx,Данные/Выписки и данные/Выписка_40702810101690000356_01.05.2025–30.04.2026.xlsx,4b76869776b0396f99416042e2ef48c62c74d63100f729374e86b291584bc8a1,Выписка по счёту,4067
2025-05-05,1822,0.0,6693.2,6693.2,credit,"ООО ""ТОРГСЕРВИС 71""",7106023201,713001001,40702810766000014950,047003608,ТУЛЬСКОЕ ОТДЕЛЕНИЕ N8604 ПАО СБЕРБАНК г Тула,Оплата за товар согласно договору поставки № тс71/2025-6 от 20.11.2024 Тула Скуратовская 100А. Сумма 6693-20 В т.ч. НДС(10%) 608-47,,Платежное поручение,Выписка_40702810101690000356_01.05.2025–30.04.2026.xlsx,Данные/Выписки и данные/Выписка_40702810101690000356_01.05.2025–30.04.2026.xlsx,4b76869776b0396f99416042e2ef48c62c74d63100f729374e86b291584bc8a1,Выписка по счёту,4068
2025-05-05,1877,0.0,5800.0,5800.0,credit,"ООО ""ТОРГСЕРВИС 71"" p/c 40702810866000016175 ТУЛЬСКОЕ ОТДЕЛЕНИЕ N8604 ПАО СБЕРБАНК г.Тула",7106023201,710601001,30302810020006005500,042748634,КАЛИНИНГРАДСКОЕ ОТДЕЛЕНИЕ N8626 ПАО СБЕРБАНК г Калининград,Оплата за товар согласно договору поставки № тс71/2025-6 от 20.11.2024 Алексин Тульская зд 141 к1. Сумма 5800-00 В т.ч. НДС(10%) 527-27,,Платежное поручение,Выписка_40702810101690000356_01.05.2025–30.04.2026.xlsx,Данные/Выписки и данные/Выписка_40702810101690000356_01.05.2025–30.04.2026.xlsx,4b76869776b0396f99416042e2ef48c62c74d63100f729374e86b291584bc8a1,Выписка по счёту,4069
2025-05-05,1074,0.0,1400.0,1400.0,credit,"ООО ""ТОРГСЕРВИС 150"" p/c 40702810140000078025 ПАО СБЕРБАНК г.Москва",9723095473,772301001,30302810020006005500,042748634,КАЛИНИНГРАДСКОЕ ОТДЕЛЕНИЕ N8626 ПАО СБЕРБАНК г Калининград,Оплата за товар согласно договору поставки № ТС150/25-241ПМСК от 31.12.2024 Волоколамск Спасс Центральная стр12бСумма 1400-00В т.ч. НДС(10%) 127-27,,Платежное поручение,Выписка_40702810101690000356_01.05.2025–30.04.2026.xlsx,Данные/Выписки и данные/Выписка_40702810101690000356_01.05.2025–30.04.2026.xlsx,4b76869776b0396f99416042e2ef48c62c74d63100f729374e86b291584bc8a1,Выписка по счёту,4070
2025-05-05,1378,0.0,2400.0,2400.0,credit,"ООО ""ТОРГСЕРВИС 50"" p/c 40702810540000064309 ПАО СБЕРБАНК г.Москва",5033001802,503001001,30302810020006005500,042748634,КАЛИНИНГРАДСКОЕ ОТДЕЛЕНИЕ N8626 ПАО СБЕРБАНК г Калининград,Оплата за товар согласно договору поставки № ТС50/25-241ПМСК от 31.12.2024 Воскресенск Гаражная 1ГСумма 2400-00В т.ч. НДС(10%) 218-18,,Платежное поручение,Выписка_40702810101690000356_01.05.2025–30.04.2026.xlsx,Данные/Выписки и данные/Выписка_40702810101690000356_01.05.2025–30.04.2026.xlsx,4b76869776b0396f99416042e2ef48c62c74d63100f729374e86b291584bc8a1,Выписка по счёту,4071
2025-05-05,1252,0.0,9600.0,9600.0,credit,"ООО ""ТОРГСЕРВИС 50"" p/c 40702810940000066981 ПАО СБЕРБАНК г.Москва",5033001802,503001001,30302810020006005500,042748634,КАЛИНИНГРАДСКОЕ ОТДЕЛЕНИЕ N8626 ПАО СБЕРБАНК г Калининград,Оплата за товар согласно договору поставки № ТС50/25-241ПМСК от 31.12.2024 Серпухов Заводской пр 40Сумма 9600-00В т.ч. НДС(10%) 872-73,,Платежное поручение,Выписка_40702810101690000356_01.05.2025–30.04.2026.xlsx,Данные/Выписки и данные/Выписка_40702810101690000356_01.05.2025–30.04.2026.xlsx,4b76869776b0396f99416042e2ef48c62c74d63100f729374e86b291584bc8a1,Выписка по счёту,4072
2025-05-05,1833,0.0,11400.0,11400.0,credit,"ООО ""ТОРГСЕРВИС 71"" p/c 40702810166000014673 ТУЛЬСКОЕ ОТДЕЛЕНИЕ N8604 ПАО СБЕРБАНК г.Тула",7106023201,401145002,30302810020006005500,042748634,КАЛИНИНГРАДСКОЕ ОТДЕЛЕНИЕ N8626 ПАО СБЕРБАНК г Калининград,Оплата за товар согласно договору поставки № тс71/2025-6 от 20.11.2024 Одоев 50 лет Октября. Сумма 11400-00 В т.ч. НДС(10%) 1036-36,,Платежное поручение,Выписка_40702810101690000356_01.05.2025–30.04.2026.xlsx,Данные/Выписки и данные/Выписка_40702810101690000356_01.05.2025–30.04.2026.xlsx,4b76869776b0396f99416042e2ef48c62c74d63100f729374e86b291584bc8a1,Выписка по счёту,4073
2025-05-05,1211,0.0,2600.0,2600.0,credit,"ООО ""ТОРГСЕРВИС 50"" p/c 40702810340000064305 ПАО СБЕРБАНК г.Москва",5033001802,503001001,30302810020006005500,042748634,КАЛИНИНГРАДСКОЕ ОТДЕЛЕНИЕ N8626 ПАО СБЕРБАНК г Калининград,Оплата за товар согласно договору поставки № ТС50/25-241ПМСК от 31.12.2024 Руза Социалистическая 78аСумма 2600-00В т.ч. НДС(10%) 236-36,,Платежное поручение,Выписка_40702810101690000356_01.05.2025–30.04.2026.xlsx,Данные/Выписки и данные/Выписка_40702810101690000356_01.05.2025–30.04.2026.xlsx,4b76869776b0396f99416042e2ef48c62c74d63100f729374e86b291584bc8a1,Выписка по счёту,4074
2025-05-05,1345,0.0,2200.0,2200.0,credit,"ООО ""ТОРГСЕРВИС 50"" p/c 40702810440000063112 ПАО СБЕРБАНК г.Москва",5033001802,503001001,30302810020006005500,042748634,КАЛИНИНГРАДСКОЕ ОТДЕЛЕНИЕ N8626 ПАО СБЕРБАНК г Калининград,Оплата за товар согласно договору поставки № ТС50/25-241ПМСК от 31.12.2024 Посад Павловский Интернациональная 55 стр 1Сумма 2200-00В т.ч. НДС(10%) 200-00,,Платежное поручение,Выписка_40702810101690000356_01.05.2025–30.04.2026.xlsx,Данные/Выписки и данные/Выписка_40702810101690000356_01.05.2025–30.04.2026.xlsx,4b76869776b0396f99416042e2ef48c62c74d63100f729374e86b291584bc8a1,Выписка по счёту,4075
