counterparty_raw,legal_entity,brand,store_location_raw,city_or_area,contract_raw,contract_number,contract_date,sales_doc_raw,sales_doc_type,sales_doc_number,sales_doc_date,sale_date,nomenclature,quantity,amount,period_label,period_start,period_end,source_file,source_file_path,source_file_hash,source_sheet,source_row_number,source_quantity_column,source_amount_column
"Торгсервис 150 ООО Магазин Светофор г. Руза, п. Дорохово, ул. Невкипелого, д. 4.А",Торгсервис 150 ООО,Светофор,"г. Руза, п. Дорохово, ул. Невкипелого, д. 4.А",г. Руза,ТС-150/24-008МО2 от 09.02.2024,ТС-150/24-008МО2,2024-02-09,Корректировка реализации № 235 от 06.05.2025,Корректировка реализации,235,2025-05-06,2025-05-06,"Сладости восточные ""Шакер-Чурек"" 1,0 кг",-70.0,-14000.0,Продажи по контрагентам за Май 2025 г. - Июнь 2025 г.,2025-05-01,2025-06-30,Продажи по контрагентам за Май 2025 г. - Июнь 2025 г..xls,Данные/Продажи по контрагентам/Продажи по контрагентам за Май 2025 г. - Июнь 2025 г..xls,475886a1077f89288781ddb2a6e07c338513d66c4589d72ef1a82227fa7663d2,Лист_1,462,06.05.25,
"Торгсервис 150 ООО Магазин Светофор, г. Коломна, ул.Колхозная, д.8, стр.4",Торгсервис 150 ООО,Светофор,"г. Коломна, ул.Колхозная, д.8, стр.4",г. Коломна,ТС150/25-241 ПМСК от 31.12.2024,ТС150/25-241 ПМСК,2024-12-31,Корректировка реализации № 236 от 06.05.2025,Корректировка реализации,236,2025-05-06,2025-05-06,"Сладости восточные ""Шакер-Чурек"" 1,0 кг",-78.0,-15600.0,Продажи по контрагентам за Май 2025 г. - Июнь 2025 г.,2025-05-01,2025-06-30,Продажи по контрагентам за Май 2025 г. - Июнь 2025 г..xls,Данные/Продажи по контрагентам/Продажи по контрагентам за Май 2025 г. - Июнь 2025 г..xls,475886a1077f89288781ddb2a6e07c338513d66c4589d72ef1a82227fa7663d2,Лист_1,470,06.05.25,
"Торгсервис 50 ООО Магазин Светофор г. Можайск, ул. Воинов-интернационалистов, д.12",Торгсервис 50 ООО,Светофор,"г. Можайск, ул. Воинов-интернационалистов, д.12",г. Можайск,ТС-50/24-008МО2 от 09.02.2024,ТС-50/24-008МО2,2024-02-09,Корректировка реализации № 239 от 06.05.2025,Корректировка реализации,239,2025-05-06,2025-05-06,"Сладости восточные ""Шакер-Чурек"" 1,0 кг",-138.0,-27600.0,Продажи по контрагентам за Май 2025 г. - Июнь 2025 г.,2025-05-01,2025-06-30,Продажи по контрагентам за Май 2025 г. - Июнь 2025 г..xls,Данные/Продажи по контрагентам/Продажи по контрагентам за Май 2025 г. - Июнь 2025 г..xls,475886a1077f89288781ddb2a6e07c338513d66c4589d72ef1a82227fa7663d2,Лист_1,593,06.05.25,
"Торгсервис 50 ООО Магазин Светофор г. Серпухов, Заводской пр-зд, д. 40",Торгсервис 50 ООО,Светофор,"г. Серпухов, Заводской пр-зд, д. 40",г. Серпухов,ТС-50/24-008МО2 от 09.02.2024,ТС-50/24-008МО2,2024-02-09,Корректировка реализации № 240 от 06.05.2025,Корректировка реализации,240,2025-05-06,2025-05-06,"Сладости восточные ""Сладкоежка"" с цедрой апельсина 1,0",-57.0,-10260.0,Продажи по контрагентам за Май 2025 г. - Июнь 2025 г.,2025-05-01,2025-06-30,Продажи по контрагентам за Май 2025 г. - Июнь 2025 г..xls,Данные/Продажи по контрагентам/Продажи по контрагентам за Май 2025 г. - Июнь 2025 г..xls,475886a1077f89288781ddb2a6e07c338513d66c4589d72ef1a82227fa7663d2,Лист_1,617,06.05.25,
"Торгсервис 71 ООО Магазин Светофор ТО, п. Заокский, ул. Автодорожная 1Б",Торгсервис 71 ООО,Светофор,"ТО, п. Заокский, ул. Автодорожная 1Б",,ТС71/2025-6 от 20.11.2024,ТС71/2025-6,2024-11-20,Корректировка реализации № 241 от 06.05.2025,Корректировка реализации,241,2025-05-06,2025-05-06,"Изделия хлебобулочные""Мадлены "" ассорти с начинкой 1,0 кг",-33.0,-6527.0,Продажи по контрагентам за Май 2025 г. - Июнь 2025 г.,2025-05-01,2025-06-30,Продажи по контрагентам за Май 2025 г. - Июнь 2025 г..xls,Данные/Продажи по контрагентам/Продажи по контрагентам за Май 2025 г. - Июнь 2025 г..xls,475886a1077f89288781ddb2a6e07c338513d66c4589d72ef1a82227fa7663d2,Лист_1,398,06.05.25,
"Торгсервис 71 ООО Магазин Светофор ТО, п. Заокский, ул. Автодорожная 1Б",Торгсервис 71 ООО,Светофор,"ТО, п. Заокский, ул. Автодорожная 1Б",,ТС71/2025-6 от 20.11.2024,ТС71/2025-6,2024-11-20,Корректировка реализации № 242 от 06.05.2025,Корректировка реализации,242,2025-05-06,2025-05-06,"Изделия хлебобулочные маффин ""Каприз"" 0,8 кг",-108.0,-21600.0,Продажи по контрагентам за Май 2025 г. - Июнь 2025 г.,2025-05-01,2025-06-30,Продажи по контрагентам за Май 2025 г. - Июнь 2025 г..xls,Данные/Продажи по контрагентам/Продажи по контрагентам за Май 2025 г. - Июнь 2025 г..xls,475886a1077f89288781ddb2a6e07c338513d66c4589d72ef1a82227fa7663d2,Лист_1,400,06.05.25,
"Торгсервис 71 ООО Магазин Светофор г. Донской, мкр.Северо-Задонск, ул. Мичурина, д.1",Торгсервис 71 ООО,Светофор,"г. Донской, мкр.Северо-Задонск, ул. Мичурина, д.1",г. Донской,ТС-71/2025-6 от 20.11.2024,ТС-71/2025-6,2024-11-20,Корректировка реализации № 238 от 06.05.2025,Корректировка реализации,238,2025-05-06,2025-05-06,"Изделия хлебобулочные маффин ""Каприз"" 0,8 кг",-146.0,-29200.0,Продажи по контрагентам за Май 2025 г. - Июнь 2025 г.,2025-05-01,2025-06-30,Продажи по контрагентам за Май 2025 г. - Июнь 2025 г..xls,Данные/Продажи по контрагентам/Продажи по контрагентам за Май 2025 г. - Июнь 2025 г..xls,475886a1077f89288781ddb2a6e07c338513d66c4589d72ef1a82227fa7663d2,Лист_1,597,06.05.25,
"Торгсервис 71 ООО Магазин Светофор г. Плавск, ул. Островского, д.7",Торгсервис 71 ООО,Светофор,"г. Плавск, ул. Островского, д.7",г. Плавск,ТС-71/2024 от 29.01.2024,ТС-71/2024,2024-01-29,Корректировка реализации № 237 от 06.05.2025,Корректировка реализации,237,2025-05-06,2025-05-06,"Изделия хлебобулочные ""Улыбка "" песочное 1,0 кг",-6.0,-1129.0,Продажи по контрагентам за Май 2025 г. - Июнь 2025 г.,2025-05-01,2025-06-30,Продажи по контрагентам за Май 2025 г. - Июнь 2025 г..xls,Данные/Продажи по контрагентам/Продажи по контрагентам за Май 2025 г. - Июнь 2025 г..xls,475886a1077f89288781ddb2a6e07c338513d66c4589d72ef1a82227fa7663d2,Лист_1,629,06.05.25,
"Восторг 76 ООО Магазин Маяк г. Брянск, ул. Ульянова, стр.4/1",Восторг 76 ООО,Маяк,"г. Брянск, ул. Ульянова, стр.4/1",г. Брянск,36/ВС от 20.09.2023,36/ВС,2023-09-20,Корректировка реализации № 247 от 07.05.2025,Корректировка реализации,247,2025-05-07,2025-05-07,"Сдобное хлебобулочное изделие ""ДИВНОЕ""с начинкой 1,0 кг",-8.0,-1638.0,Продажи по контрагентам за Май 2025 г. - Июнь 2025 г.,2025-05-01,2025-06-30,Продажи по контрагентам за Май 2025 г. - Июнь 2025 г..xls,Данные/Продажи по контрагентам/Продажи по контрагентам за Май 2025 г. - Июнь 2025 г..xls,475886a1077f89288781ddb2a6e07c338513d66c4589d72ef1a82227fa7663d2,Лист_1,271,07.05.25,
"Торгсервис 50 ООО Магазин Светофор г. Коломна, ул. 3 Интернационала, д. 7/1",Торгсервис 50 ООО,Светофор,"г. Коломна, ул. 3 Интернационала, д. 7/1",г. Коломна,ТС50/25-241 ПМСК от 31.12.2024,ТС50/25-241 ПМСК,2024-12-31,Корректировка реализации № 245 от 07.05.2025,Корректировка реализации,245,2025-05-07,2025-05-07,"Сладости восточные ""Шакер-Чурек"" 1,0 кг",-71.0,-14200.0,Продажи по контрагентам за Май 2025 г. - Июнь 2025 г.,2025-05-01,2025-06-30,Продажи по контрагентам за Май 2025 г. - Июнь 2025 г..xls,Данные/Продажи по контрагентам/Продажи по контрагентам за Май 2025 г. - Июнь 2025 г..xls,475886a1077f89288781ddb2a6e07c338513d66c4589d72ef1a82227fa7663d2,Лист_1,466,07.05.25,
"Торгсервис 50 ООО Магазин светофор г. Волоколамск, ул. Ново-Солдатская, д. 23",Торгсервис 50 ООО,Светофор,"г. Волоколамск, ул. Ново-Солдатская, д. 23",г. Волоколамск,ТС-50/24-008МО2 от 09.02.2024,ТС-50/24-008МО2,2024-02-09,Корректировка реализации № 249 от 07.05.2025,Корректировка реализации,249,2025-05-07,2025-05-07,"Сладости восточные ""Шакер-Чурек"" 1,0 кг",-40.0,-8000.0,Продажи по контрагентам за Май 2025 г. - Июнь 2025 г.,2025-05-01,2025-06-30,Продажи по контрагентам за Май 2025 г. - Июнь 2025 г..xls,Данные/Продажи по контрагентам/Продажи по контрагентам за Май 2025 г. - Июнь 2025 г..xls,475886a1077f89288781ddb2a6e07c338513d66c4589d72ef1a82227fa7663d2,Лист_1,426,07.05.25,
"Торгсервис 150 ООО Магазин Светофор г. Истра, д. Ленино, д. 2в",Торгсервис 150 ООО,Светофор,"г. Истра, д. Ленино, д. 2в",г. Истра,ТС-150/24-008МО2 от 09.02.2024,ТС-150/24-008МО2,2024-02-09,Корректировка реализации № 251 от 12.05.2025,Корректировка реализации,251,2025-05-12,2025-05-12,"Сладости восточные ""Шакер-Чурек"" 1,0 кг",-117.0,-23400.0,Продажи по контрагентам за Май 2025 г. - Июнь 2025 г.,2025-05-01,2025-06-30,Продажи по контрагентам за Май 2025 г. - Июнь 2025 г..xls,Данные/Продажи по контрагентам/Продажи по контрагентам за Май 2025 г. - Июнь 2025 г..xls,475886a1077f89288781ddb2a6e07c338513d66c4589d72ef1a82227fa7663d2,Лист_1,526,12.05.25,
"Торгсервис 50 ООО Магазин Светофор г. Егорьевск, ул. Меланжистов, д. 3б/20",Торгсервис 50 ООО,Светофор,"г. Егорьевск, ул. Меланжистов, д. 3б/20",г. Егорьевск,ТС-50/24-008МО2 от 09.02.2024,ТС-50/24-008МО2,2024-02-09,Корректировка реализации № 252 от 12.05.2025,Корректировка реализации,252,2025-05-12,2025-05-12,"Сладости восточные ""Сладкоежка"" с цедрой апельсина 1,0",-17.0,-3060.0,Продажи по контрагентам за Май 2025 г. - Июнь 2025 г.,2025-05-01,2025-06-30,Продажи по контрагентам за Май 2025 г. - Июнь 2025 г..xls,Данные/Продажи по контрагентам/Продажи по контрагентам за Май 2025 г. - Июнь 2025 г..xls,475886a1077f89288781ddb2a6e07c338513d66c4589d72ef1a82227fa7663d2,Лист_1,576,12.05.25,
"Торгсервис 50 ООО Магазин Светофор г. Ликино-Дулево, ул. Ленина, д.15",Торгсервис 50 ООО,Светофор,"г. Ликино-Дулево, ул. Ленина, д.15",г. Ликино-Дулево,ТС-50/24-008МО2 от 09.02.2024,ТС-50/24-008МО2,2024-02-09,Корректировка реализации № 253 от 12.05.2025,Корректировка реализации,253,2025-05-12,2025-05-12,"Сладости восточные ""Шакер-Чурек"" 1,0 кг",-129.0,-25800.0,Продажи по контрагентам за Май 2025 г. - Июнь 2025 г.,2025-05-01,2025-06-30,Продажи по контрагентам за Май 2025 г. - Июнь 2025 г..xls,Данные/Продажи по контрагентам/Продажи по контрагентам за Май 2025 г. - Июнь 2025 г..xls,475886a1077f89288781ddb2a6e07c338513d66c4589d72ef1a82227fa7663d2,Лист_1,564,12.05.25,
"Торгсервис 50 ООО Магазин Светофор г. Электрогорск, ул. Советская, д.3Б",Торгсервис 50 ООО,Светофор,"г. Электрогорск, ул. Советская, д.3Б",г. Электрогорск,ТС-50/24-008МО2 от 09.02.2024,ТС-50/24-008МО2,2024-02-09,Корректировка реализации № 256 от 12.05.2025,Корректировка реализации,256,2025-05-12,2025-05-12,"Сладости восточные ""Шакер-Чурек"" 1,0 кг",-156.0,-31200.0,Продажи по контрагентам за Май 2025 г. - Июнь 2025 г.,2025-05-01,2025-06-30,Продажи по контрагентам за Май 2025 г. - Июнь 2025 г..xls,Данные/Продажи по контрагентам/Продажи по контрагентам за Май 2025 г. - Июнь 2025 г..xls,475886a1077f89288781ddb2a6e07c338513d66c4589d72ef1a82227fa7663d2,Лист_1,601,12.05.25,
"Торгсервис 50 ООО Магазин Светофор г.Орехово-Зуево, пр-зд Лермонтова д.22",Торгсервис 50 ООО,Светофор,"г.Орехово-Зуево, пр-зд Лермонтова д.22",г.Орехово-Зуево,ТС-50/24-008МО2 от 09.02.2024,ТС-50/24-008МО2,2024-02-09,Корректировка реализации № 254 от 12.05.2025,Корректировка реализации,254,2025-05-12,2025-05-12,"Сладости восточные ""Шакер-Чурек"" 1,0 кг",-133.0,-26600.0,Продажи по контрагентам за Май 2025 г. - Июнь 2025 г.,2025-05-01,2025-06-30,Продажи по контрагентам за Май 2025 г. - Июнь 2025 г..xls,Данные/Продажи по контрагентам/Продажи по контрагентам за Май 2025 г. - Июнь 2025 г..xls,475886a1077f89288781ddb2a6e07c338513d66c4589d72ef1a82227fa7663d2,Лист_1,585,12.05.25,
"Торгсервис 50 ООО Магазин Светофор г.Орехово-Зуево, пр-зд Лермонтова д.22",Торгсервис 50 ООО,Светофор,"г.Орехово-Зуево, пр-зд Лермонтова д.22",г.Орехово-Зуево,ТС-50/24-008МО2 от 09.02.2024,ТС-50/24-008МО2,2024-02-09,Корректировка реализации № 255 от 12.05.2025,Корректировка реализации,255,2025-05-12,2025-05-12,"Сладости восточные ""Сладкоежка"" с цедрой апельсина 1,0",-1.0,-180.0,Продажи по контрагентам за Май 2025 г. - Июнь 2025 г.,2025-05-01,2025-06-30,Продажи по контрагентам за Май 2025 г. - Июнь 2025 г..xls,Данные/Продажи по контрагентам/Продажи по контрагентам за Май 2025 г. - Июнь 2025 г..xls,475886a1077f89288781ddb2a6e07c338513d66c4589d72ef1a82227fa7663d2,Лист_1,583,12.05.25,
"Торгсервис 71 ООО Магазин Светофор ТО,рп. Одоев, ул. 50 лет Октября",Торгсервис 71 ООО,Светофор,"ТО,рп. Одоев, ул. 50 лет Октября",рп. Одоев,ТС-71/2024 от 29.01.2024,ТС-71/2024,2024-01-29,Корректировка реализации № 250 от 12.05.2025,Корректировка реализации,250,2025-05-12,2025-05-12,"Изделия хлебобулочные маффин ""Каприз"" 0,8 кг",-66.0,-13200.0,Продажи по контрагентам за Май 2025 г. - Июнь 2025 г.,2025-05-01,2025-06-30,Продажи по контрагентам за Май 2025 г. - Июнь 2025 г..xls,Данные/Продажи по контрагентам/Продажи по контрагентам за Май 2025 г. - Июнь 2025 г..xls,475886a1077f89288781ddb2a6e07c338513d66c4589d72ef1a82227fa7663d2,Лист_1,544,12.05.25,
"Восторг 76 ООО Магазин Маяк, Подольск ул.Загородная д.1",Восторг 76 ООО,Маяк,Подольск ул.Загородная д.1,,36/ВС от 20.09.2023,36/ВС,2023-09-20,Корректировка реализации № 264 от 14.05.2025,Корректировка реализации,264,2025-05-14,2025-05-14,"Изделия хлебобулочные ""МАЭСТРО"" песочное 1,0 кг",-2.0,-393.0,Продажи по контрагентам за Май 2025 г. - Июнь 2025 г.,2025-05-01,2025-06-30,Продажи по контрагентам за Май 2025 г. - Июнь 2025 г..xls,Данные/Продажи по контрагентам/Продажи по контрагентам за Май 2025 г. - Июнь 2025 г..xls,475886a1077f89288781ddb2a6e07c338513d66c4589d72ef1a82227fa7663d2,Лист_1,56,14.05.25,
"Восторг 76 ООО Магазин Маяк, Подольск ул.Загородная д.1",Восторг 76 ООО,Маяк,Подольск ул.Загородная д.1,,36/ВС от 20.09.2023,36/ВС,2023-09-20,Корректировка реализации № 264 от 14.05.2025,Корректировка реализации,264,2025-05-14,2025-05-14,"Хлебобулочное изделие бисквитное ""Мадлены""с изюмом 1,0",-3.0,-621.0,Продажи по контрагентам за Май 2025 г. - Июнь 2025 г.,2025-05-01,2025-06-30,Продажи по контрагентам за Май 2025 г. - Июнь 2025 г..xls,Данные/Продажи по контрагентам/Продажи по контрагентам за Май 2025 г. - Июнь 2025 г..xls,475886a1077f89288781ddb2a6e07c338513d66c4589d72ef1a82227fa7663d2,Лист_1,57,14.05.25,
