period_label,period_start,period_end,counterparty_raw,legal_entity,brand,store_location_raw,city_or_area,contract_raw,contract_number,contract_date,payment_doc_raw,payment_doc_number,payment_date,amount,source_file,source_file_path,source_file_hash,source_sheet,source_row_number,source_column
Продажи по контрагентам (по оплате) за Май 2025 г. - Июнь 2025 г.,2025-05-01,2025-06-30,"Восторг 76 ООО Магазин Маяк, Подольск ул.Загородная д.1",Восторг 76 ООО,Маяк,Подольск ул.Загородная д.1,,36/ВС от 20.09.2023,36/ВС,2023-09-20,Поступление на расчетный счет № 3538 от 05.05.2025,3538,2025-05-05,6644.0,Продажи по контрагентам (по оплате) за Май 2025 г. - Июнь 2025 г..xls,Данные/Продажи по контрагентам (по оплате)/Продажи по контрагентам (по оплате) за Май 2025 г. - Июнь 2025 г..xls,c843ae3d14f78c65d96e5dc16c0f169066d15037520408ecf71bcc39e97aa070,Лист_1,78,05.05.25
Продажи по контрагентам (по оплате) за Май 2025 г. - Июнь 2025 г.,2025-05-01,2025-06-30,"Восторг 76 ООО Магазин Маяк, Тульская обл., Ленинский р-н, п. Петровский, ул. Парковая , д.7",Восторг 76 ООО,Маяк,"Тульская обл., Ленинский р-н, п. Петровский, ул. Парковая , д.7",,36/ВС от 20.09.2023,36/ВС,2023-09-20,Поступление на расчетный счет № 3718 от 05.05.2025,3718,2025-05-05,8496.0,Продажи по контрагентам (по оплате) за Май 2025 г. - Июнь 2025 г..xls,Данные/Продажи по контрагентам (по оплате)/Продажи по контрагентам (по оплате) за Май 2025 г. - Июнь 2025 г..xls,c843ae3d14f78c65d96e5dc16c0f169066d15037520408ecf71bcc39e97aa070,Лист_1,108,05.05.25
Продажи по контрагентам (по оплате) за Май 2025 г. - Июнь 2025 г.,2025-05-01,2025-06-30,"Восторг 76 ООО Магазин Маяк, г. Брянск, ул. 50-й Армии, стр.1Д",Восторг 76 ООО,Маяк,"г. Брянск, ул. 50-й Армии, стр.1Д",г. Брянск,36/ВС от 20.09.2023,36/ВС,2023-09-20,Поступление на расчетный счет № 3641 от 05.05.2025,3641,2025-05-05,3253.0,Продажи по контрагентам (по оплате) за Май 2025 г. - Июнь 2025 г..xls,Данные/Продажи по контрагентам (по оплате)/Продажи по контрагентам (по оплате) за Май 2025 г. - Июнь 2025 г..xls,c843ae3d14f78c65d96e5dc16c0f169066d15037520408ecf71bcc39e97aa070,Лист_1,156,05.05.25
Продажи по контрагентам (по оплате) за Май 2025 г. - Июнь 2025 г.,2025-05-01,2025-06-30,"Восторг 76 ООО Магазин Маяк, г. Воронеж, ул. 45 стрелковой дивизии, д. 255в",Восторг 76 ООО,Маяк,"г. Воронеж, ул. 45 стрелковой дивизии, д. 255в",г. Воронеж,36/ВС от 20.09.2023,36/ВС,2023-09-20,Поступление на расчетный счет № 3903 от 05.05.2025,3903,2025-05-05,10401.0,Продажи по контрагентам (по оплате) за Май 2025 г. - Июнь 2025 г..xls,Данные/Продажи по контрагентам (по оплате)/Продажи по контрагентам (по оплате) за Май 2025 г. - Июнь 2025 г..xls,c843ae3d14f78c65d96e5dc16c0f169066d15037520408ecf71bcc39e97aa070,Лист_1,186,05.05.25
Продажи по контрагентам (по оплате) за Май 2025 г. - Июнь 2025 г.,2025-05-01,2025-06-30,"Восторг 76 ООО Магазин Маяк, г. Воронеж, ул. Дубровина, д. 3 В",Восторг 76 ООО,Маяк,"г. Воронеж, ул. Дубровина, д. 3 В",г. Воронеж,36/ВС от 20.09.2023,36/ВС,2023-09-20,Поступление на расчетный счет № 4026 от 05.05.2025,4026,2025-05-05,7767.0,Продажи по контрагентам (по оплате) за Май 2025 г. - Июнь 2025 г..xls,Данные/Продажи по контрагентам (по оплате)/Продажи по контрагентам (по оплате) за Май 2025 г. - Июнь 2025 г..xls,c843ae3d14f78c65d96e5dc16c0f169066d15037520408ecf71bcc39e97aa070,Лист_1,51,05.05.25
Продажи по контрагентам (по оплате) за Май 2025 г. - Июнь 2025 г.,2025-05-01,2025-06-30,"Восторг 76 ООО Магазин Маяк, г. Воронеж, ул. Машиностроителей, д. 24И",Восторг 76 ООО,Маяк,"г. Воронеж, ул. Машиностроителей, д. 24И",г. Воронеж,36/ВС от 20.09.2023,36/ВС,2023-09-20,Поступление на расчетный счет № 4232 от 05.05.2025,4232,2025-05-05,6120.0,Продажи по контрагентам (по оплате) за Май 2025 г. - Июнь 2025 г..xls,Данные/Продажи по контрагентам (по оплате)/Продажи по контрагентам (по оплате) за Май 2025 г. - Июнь 2025 г..xls,c843ae3d14f78c65d96e5dc16c0f169066d15037520408ecf71bcc39e97aa070,Лист_1,196,05.05.25
Продажи по контрагентам (по оплате) за Май 2025 г. - Июнь 2025 г.,2025-05-01,2025-06-30,"Восторг 76 ООО Магазин Маяк, г. Курск, пр-кт Кулакова, д.146з",Восторг 76 ООО,Маяк,"г. Курск, пр-кт Кулакова, д.146з",г. Курск,36/ВС от 20.09.2023,36/ВС,2023-09-20,Поступление на расчетный счет № 4301 от 05.05.2025,4301,2025-05-05,1024.0,Продажи по контрагентам (по оплате) за Май 2025 г. - Июнь 2025 г..xls,Данные/Продажи по контрагентам (по оплате)/Продажи по контрагентам (по оплате) за Май 2025 г. - Июнь 2025 г..xls,c843ae3d14f78c65d96e5dc16c0f169066d15037520408ecf71bcc39e97aa070,Лист_1,96,05.05.25
Продажи по контрагентам (по оплате) за Май 2025 г. - Июнь 2025 г.,2025-05-01,2025-06-30,"Восторг 76 ООО Магазин Маяк, г. Электросталь , ул. Тевосяна, д.25",Восторг 76 ООО,Маяк,"г. Электросталь , ул. Тевосяна, д.25",г. Электросталь,36/ВС от 20.09.2023,36/ВС,2023-09-20,Поступление на расчетный счет № 2792 от 05.05.2025,2792,2025-05-05,5898.0,Продажи по контрагентам (по оплате) за Май 2025 г. - Июнь 2025 г..xls,Данные/Продажи по контрагентам (по оплате)/Продажи по контрагентам (по оплате) за Май 2025 г. - Июнь 2025 г..xls,c843ae3d14f78c65d96e5dc16c0f169066d15037520408ecf71bcc39e97aa070,Лист_1,142,05.05.25
Продажи по контрагентам (по оплате) за Май 2025 г. - Июнь 2025 г.,2025-05-01,2025-06-30,"Торгсервис 150 ООО Магазин Светофор г. Куровское, ул. Совхозная, д.25",Торгсервис 150 ООО,Светофор,"г. Куровское, ул. Совхозная, д.25",г. Куровское,ТС150/25-241 ПМСК от 31.12.2024,ТС150/25-241 ПМСК,2024-12-31,Поступление на расчетный счет № 1302 от 05.05.2025,1302,2025-05-05,3400.0,Продажи по контрагентам (по оплате) за Май 2025 г. - Июнь 2025 г..xls,Данные/Продажи по контрагентам (по оплате)/Продажи по контрагентам (по оплате) за Май 2025 г. - Июнь 2025 г..xls,c843ae3d14f78c65d96e5dc16c0f169066d15037520408ecf71bcc39e97aa070,Лист_1,496,05.05.25
Продажи по контрагентам (по оплате) за Май 2025 г. - Июнь 2025 г.,2025-05-01,2025-06-30,"Торгсервис 150 ООО Магазин Светофор г. Луховицы, ул. Гагарина д. 45а-1",Торгсервис 150 ООО,Светофор,"г. Луховицы, ул. Гагарина д. 45а-1",г. Луховицы,ТС150/25-241 ПМСК от 31.12.2024,ТС150/25-241 ПМСК,2024-12-31,Поступление на расчетный счет № 1553 от 05.05.2025,1553,2025-05-05,2380.0,Продажи по контрагентам (по оплате) за Май 2025 г. - Июнь 2025 г..xls,Данные/Продажи по контрагентам (по оплате)/Продажи по контрагентам (по оплате) за Май 2025 г. - Июнь 2025 г..xls,c843ae3d14f78c65d96e5dc16c0f169066d15037520408ecf71bcc39e97aa070,Лист_1,431,05.05.25
