month,operating_inflows,operating_outflows,operating_cash_flow,financing_inflows,financing_outflows,owner_withdrawals,internal_transfers_in,internal_transfers_out,returns_in,returns_out,unknown_inflows,unknown_outflows,net_cash_flow_before_internal,net_cash_flow_after_internal,operations_count,needs_review_count,needs_review_amount
2025-05,971329.8,1035650.02,-64320.21999999997,0.0,0.0,35000.0,0.0,0.0,7619.0,0.0,0.0,0.0,-91701.22,-91701.22,220,0,0.0
2025-06,1145115.02,998547.04,146567.97999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146567.98000000004,146567.98000000004,195,7,735450.0
2025-07,1874679.72,1962956.5899999999,-88276.86999999988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-88276.87,-88276.87,235,9,1112924.5899999999
2025-08,3891754.41,3744325.6100000003,147428.7999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147428.7999999999,147428.7999999999,300,22,2953685.5
2025-09,3602062.26,3863052.42,-260990.16000000015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-260990.16000000003,-260990.16000000003,284,23,3421111.0
2025-10,5768109.82,5615202.61,152907.20999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152907.2099999999,152907.2099999999,460,29,4744680.8
2025-11,5661947.73,5383176.61,278771.1200000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278771.12000000005,278771.12000000005,398,29,4582873.3
2025-12,5146962.6,5322154.48,-175191.88000000082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-175191.8799999999,-175191.8799999999,493,33,4508759.8
2026-01,2659441.2,2514183.1500000004,145258.0499999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145258.05,145258.05,253,14,2095402.5
2026-02,3147109.3099999996,3497309.7199999997,-350200.41000000015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-350200.41000000003,-350200.41000000003,355,19,2428530.0
2026-03,4492541.43,4226228.4399999995,266312.9900000002,0.0,36000.0,0.0,0.0,0.0,0.0,0.0,0.0,5793.3,224519.68999999994,224519.68999999994,426,30,2708854.3
2026-04,3641845.5700000003,3817293.92,-175448.34999999963,0.0,99239.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-274688.31999999995,-274688.31999999995,467,24,2156969.9699999997
2026-05,970034.68,802990.0,167044.68000000005,0.0,99239.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67804.71000000002,67804.71000000002,104,6,459239.97
