month,operating_inflows,operating_outflows,operating_cash_flow,financing_inflows,financing_outflows,owner_withdrawals,internal_transfers_in,internal_transfers_out,returns_in,returns_out,unknown_inflows,unknown_outflows,net_cash_flow_before_internal,net_cash_flow_after_internal,operations_count,needs_review_count,needs_review_amount,outflow_to_inflow_ratio,ocf_margin,non_operating_drag,unknown_total,risk_flags
2025-05,971329.8,1035650.02,-64320.21999999997,0.0,0.0,35000.0,0.0,0.0,7619.0,0.0,0.0,0.0,-91701.22,-91701.22,220,0,0.0,1.0662187240626202,-0.0662187240626201,27381.00000000003,0.0,отрицательный OCF; отрицательный net CF; расходы >90% поступлений; 
2025-06,1145115.02,998547.04,146567.97999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146567.98000000004,146567.98000000004,195,7,735450.0,0.8720058881072051,0.12799411189279483,-5.820766091346741e-11,0.0,много операций к проверке; 
2025-07,1874679.72,1962956.5899999999,-88276.86999999988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-88276.87,-88276.87,235,9,1112924.5899999999,1.0470890408949427,-0.04708904089494278,1.1641532182693481e-10,0.0,отрицательный OCF; отрицательный net CF; расходы >90% поступлений; много операций к проверке; 
2025-08,3891754.41,3744325.6100000003,147428.7999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147428.7999999999,147428.7999999999,300,22,2953685.5,0.9621176506870073,0.0378823493129927,-8.731149137020111e-11,0.0,расходы >90% поступлений; много операций к проверке; 
2025-09,3602062.26,3863052.42,-260990.16000000015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-260990.16000000003,-260990.16000000003,284,23,3421111.0,1.0724557603843305,-0.07245576038433055,-1.1641532182693481e-10,0.0,отрицательный OCF; отрицательный net CF; расходы >90% поступлений; много операций к проверке; 
2025-10,5768109.82,5615202.61,152907.20999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152907.2099999999,152907.2099999999,460,29,4744680.8,0.9734909329448239,0.026509067055176135,5.820766091346741e-11,0.0,расходы >90% поступлений; много операций к проверке; 
2025-11,5661947.73,5383176.61,278771.1200000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278771.12000000005,278771.12000000005,398,29,4582873.3,0.9507640950970064,0.04923590490299353,5.820766091346741e-11,0.0,расходы >90% поступлений; много операций к проверке; 
2025-12,5146962.6,5322154.48,-175191.88000000082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-175191.8799999999,-175191.8799999999,493,33,4508759.8,1.034037915876832,-0.03403791587683206,-9.313225746154785e-10,0.0,отрицательный OCF; отрицательный net CF; расходы >90% поступлений; много операций к проверке; 
2026-01,2659441.2,2514183.1500000004,145258.0499999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145258.05,145258.05,253,14,2095402.5,0.9453802362691832,0.05461976373081676,-1.7462298274040222e-10,0.0,расходы >90% поступлений; много операций к проверке; 
2026-02,3147109.3099999996,3497309.7199999997,-350200.41000000015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-350200.41000000003,-350200.41000000003,355,19,2428530.0,1.1112768498022079,-0.11127684980220792,-1.1641532182693481e-10,0.0,отрицательный OCF; отрицательный net CF; расходы >90% поступлений; много операций к проверке; 
2026-03,4492541.43,4226228.4399999995,266312.9900000002,0.0,36000.0,0.0,0.0,0.0,0.0,0.0,0.0,5793.3,224519.68999999994,224519.68999999994,426,30,2708854.3,0.9407210831219869,0.05927891687801313,41793.30000000028,5793.3,расходы >90% поступлений; много операций к проверке; 
2026-04,3641845.5700000003,3817293.92,-175448.34999999963,0.0,99239.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-274688.31999999995,-274688.31999999995,467,24,2156969.9699999997,1.048175669898051,-0.04817566989805106,99239.97000000032,0.0,отрицательный OCF; отрицательный net CF; расходы >90% поступлений; много операций к проверке; 
2026-05,970034.68,802990.0,167044.68000000005,0.0,99239.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67804.71000000002,67804.71000000002,104,6,459239.97,0.8277951464580626,0.17220485354193732,99239.97000000003,0.0,много операций к проверке; 
