category_final,category_group,operations,amount,credit_amount,debit_amount,needs_review_count,avg_confidence
Выручка от клиентов,Операционные поступления,3444,42972933.55,42972933.550000004,0.0,6,0.8600000000000001
Закупки для производства,Операционные платежи,321,29804202.6,0.0,29804202.6,134,0.9375700934579438
Аренда и коммунальные платежи,Операционные платежи,56,4642628.93,0.0,4642628.93,22,0.9507142857142856
Упаковка и расходники,Операционные платежи,50,3252205.74,0.0,3252205.7399999998,24,0.9168
Персонал,Операционные платежи,106,2971955.0,0.0,2971955.0,20,0.9202830188679246
"Налоги, взносы, штрафы",Операционные платежи,66,1156005.0,0.0,1156005.0,2,0.95
Профессиональные услуги,Операционные платежи,36,783500.6,0.0,783500.6,34,0.7308333333333333
Кредиты и займы,Финансовые и внутренние движения,3,234479.94,0.0,234479.94,2,0.92
"Связь, сервисы и подписки",Операционные платежи,41,144464.48,0.0,144464.47999999998,0,0.9034146341463415
Вывод собственников,Финансовые и внутренние движения,1,35000.0,0.0,35000.0,0,0.88
Банковские комиссии и эквайринг,Операционные платежи,64,28108.26,0.0,28108.260000000002,0,0.96
Возвраты,Операционные платежи,1,7619.0,7619.0,0.0,0,0.91
Неизвестно / требуется проверка,Требует проверки,1,5793.3,0.0,5793.3,1,0.0
