counterparty,operation_type,operations,amount,categories,share_of_credit,cumulative_share
"ООО ""ТОРГСЕРВИС 150""",credit,88,1473544.15,Выручка от клиентов,0.034283974090044585,0.034283974090044585
"ООО ""ТОРГСЕРВИС 71""",credit,138,1323615.82,Выручка от клиентов,0.03079569110844295,0.06507966519848754
"ООО ""ТОРГСЕРВИС 150"" Р/С 40702810640000407989 в ПАО Сбербанк г Москва",credit,14,610257.5,Выручка от клиентов,0.014198456366750453,0.07927812156523799
"ООО ""ТОРГСЕРВИС 50"" Р/С 40702810940000064297 в ПАО Сбербанк г Москва",credit,19,528235.0,Выручка от клиентов,0.012290093278477406,0.0915682148437154
"ООО ""ТОРГСЕРВИС 150"" Р/С 40702810540000075440 в ПАО Сбербанк г Москва",credit,16,511935.0,Выручка от клиентов,0.011910851992990489,0.10347906683670588
"ООО ""ТОРГСЕРВИС 150"" Р/С 40702810540000092151 в ПАО Сбербанк г Москва",credit,15,485632.5,Выручка от клиентов,0.011298889176332842,0.11477795601303872
"ООО ""ТОРГСЕРВИС 71"" Р/С 40702810866000016175 в ПАО Сбербанк г Москва",credit,42,478868.9,Выручка от клиентов,0.011141524982558652,0.12591948099559738
"ООО ""ВОСТОРГ 76"" Р/С 40702810077030025663 в ПАО Сбербанк г Москва",credit,37,476420.13,Выручка от клиентов,0.011084551075646884,0.13700403207124426
"ООО ""ТОРГСЕРВИС 150"" Р/С 40702810840000080685 в ПАО Сбербанк г Москва",credit,17,474930.0,Выручка от клиентов,0.011049881209589055,0.1480539132808333
"ООО ""ТОРГСЕРВИС 50"" Р/С 40702810240000030772 в ПАО Сбербанк г Москва",credit,20,455676.7,Выручка от клиентов,0.010601927452419408,0.15865584073325273
"ООО ""ТОРГСЕРВИС 50"" Р/С 40702810240000030714 в ПАО Сбербанк г Москва",credit,26,435730.0,Выручка от клиентов,0.010137840817497818,0.16879368155075056
"ООО ""ТОРГСЕРВИС 150"" Р/С 40702810040000080375 в ПАО Сбербанк г Москва",credit,15,433315.0,Выручка от клиентов,0.010081652614770769,0.17887533416552132
"ООО ""ТОРГСЕРВИС 150"" Р/С 40702810040000094905 в ПАО Сбербанк г Москва",credit,21,415846.0,Выручка от клиентов,0.009675212981876846,0.18855054714739816
"ООО ""ТОРГСЕРВИС 150"" Р/С 40702810740000410119 в ПАО Сбербанк г Москва",credit,21,411725.8,Выручка от клиентов,0.009579351022093827,0.198129898169492
"ООО ""ТОРГСЕРВИС 71"" Р/С 40702810266000003830 в ПАО Сбербанк г Москва",credit,29,411040.3,Выручка от клиентов,0.009563401948400496,0.2076933001178925
"ООО ""ТОРГСЕРВИС 71"" Р/С 40702810166000014424 в ПАО Сбербанк г Москва",credit,34,404974.5,Выручка от клиентов,0.00942227300425899,0.2171155731221515
"ООО ""ТОРГСЕРВИС 150"" Р/С 40702810240000092419 в ПАО Сбербанк г Москва",credit,18,404172.5,Выручка от клиентов,0.009403613402359574,0.22651918652451106
"ООО ""ТОРГСЕРВИС 150"" Р/С 40702810140000080479 в ПАО Сбербанк г Москва",credit,16,399315.0,Выручка от клиентов,0.009290597172650818,0.23580978369716188
"ООО ""ТОРГСЕРВИС 50"" Р/С 40702810940000064307 в ПАО Сбербанк г Москва",credit,19,393879.5,Выручка от клиентов,0.009164133000426025,0.2449739166975879
"ООО ""ТОРГСЕРВИС 71"" Р/С 40702810766000014950 в ПАО Сбербанк г Москва",credit,36,385628.5,Выручка от клиентов,0.00897216245769274,0.2539460791552806
"ООО ""ТОРГСЕРВИС 150"" Р/С 40702810240000082678 в ПАО Сбербанк г Москва",credit,15,380211.2,Выручка от клиентов,0.008846121732792846,0.2627922008880735
"ООО ""ТОРГСЕРВИС 71"" Р/С 40702810766000016712 в ПАО Сбербанк г Москва",credit,31,377279.0,Выручка от клиентов,0.00877790018081096,0.27157010106888446
"ООО ""ТОРГСЕРВИС 50"" Р/С 40702810240000066982 в ПАО Сбербанк г Москва",credit,21,370532.5,Выручка от клиентов,0.008620933841391482,0.28019103491027597
"ООО ""ТОРГСЕРВИС 50"" Р/С 40702810140000027021 в ПАО Сбербанк г Москва",credit,21,362675.0,Выручка от клиентов,0.008438118602083908,0.2886291535123599
"ООО ""ТОРГСЕРВИС 50"" Р/С 40702810340000066992 в ПАО Сбербанк г Москва",credit,19,360780.0,Выручка от клиентов,0.008394028894353988,0.2970231824067139
