operation_id,date,operation_type,amount,counterparty,category_final,subcategory_final,category_confidence,review_reason,highlighted_description
1528,2025-10-21,debit,672980.0,"ООО ""РАДУГА Н""",Закупки для производства,молочная продукция / сгущёнка,0.94,крупная сумма,"Оплата по счету № 475 от 21.10.2025. за крем на растит маслах д/ взбивания, сумма 34980,00 в т. ч. ндс 20% 5830,00; молокосодержащий продукт с заменит. мол. жира сумма 638000,00руб в тч ндс 10% 58000,00руб ."
1991,2025-11-24,debit,455200.0,"ООО ""РАДУГА Н""",Закупки для производства,молочная продукция / сгущёнка,0.94,крупная сумма,"Оплата по счету № 518 от 24.11.2025. за **маргарин** столовый, молокосодержащий продукт, сумма 275200-00. В том числе НДС 10%, 25018-18 руб. какао-порошок алкализированный, сумма 180000-00, в т. ч ндс 20% 30000-00."
1995,2025-11-24,debit,450000.0,"ООО ""РАДУГА Н""",Закупки для производства,сахар,0.94,крупная сумма,"Оплата по счету № 518 от 24.11.2025. за **маргарин** столовый, молокосодержащий продукт с **сахар**ом со вкусом ""вареная **сгущ**енка"". В том числе НДС 10%, 40909.09 руб.Частично"
1234,2025-09-30,debit,450000.0,"ООО ""РАДУГА Н""",Закупки для производства,масло / жиры,0.94,крупная сумма,"Оплата по счету № 445 от 30.09.2025. за заменитель молочного жира, сумма 213 000,00 в т. ч ндс 10% 19393,64 , **начинк**у кондитерскую пастеризованную термостабильную. сумма 237000,00. НДС 20% 39500,00 Частично"
2378,2025-12-18,debit,411200.0,"ООО ""РАДУГА Н""",Закупки для производства,масло / жиры,0.94,крупная сумма,"Оплата по счету № 546 от 18.12.2025. за **начинк**у кондит, ванилин, кокосовую стружку сумма 315200-00. В том числе НДС 20%, 52533-33 руб. , **маргарин**, сумма 96000-00, в т. ч ндс 10% 8727-27руб."
1820,2025-11-10,debit,383250.0,"ООО ""РАДУГА Н""",Закупки для производства,сахар,0.94,крупная сумма,"Оплата по счету № 499 от 10.11.2025. за **сахар**-песок. В том числе НДС 10%, 34840.91 руб."
2068,2025-11-27,debit,371700.0,"ООО ""РАДУГА Н""",Закупки для производства,сахар,0.94,крупная сумма,"Оплата по счету № 525 от 27.11.2025. **сахар**-песок, сумма 137400-00. В том числе НДС 10%, 12518-18 руб. полуфабрикат кондитерский, сумма 234000-00, в т. ч ндс 20% 39000-00 руб"
1932,2025-11-18,debit,369950.0,"ООО ""РАДУГА Н""",Закупки для производства,масло / жиры,0.94,крупная сумма,"Оплата по счету № 508 от 18.11.2025. за **маргарин** столовый, **маргарин** для слоенного теста. В том числе НДС 10%, 33631.82 руб."
2861,2026-02-03,debit,353750.0,"ООО ""РАДУГА Н""",Закупки для производства,масло / жиры,0.94,крупная сумма,"Оплата по счету № 31 от 03.02.2026. за ванилин сумма 123750-00. В том числе НДС 22%, 22315-57 руб. ; **маргарин** столовый 230000-00 в т. ч. ндс 10% 20909-09"
3012,2026-02-16,debit,330000.0,"ООО ""РАДУГА Н""",Закупки для производства,молочная продукция / сгущёнка,0.94,крупная сумма,"Оплата по счету № 43 от 10.02.2026. за молокосодержащий продукт, кондит. глазурь, кокосовую стружку, арахис обжаренный дробленый. В том числе НДС 22%, 59508.20 руб. частично."
1357,2025-10-10,debit,329450.0,"ООО ""РАДУГА Н""",Закупки для производства,сахар,0.94,крупная сумма,"Оплата по счету № 452 от 10.10.2025. за виноград сушеный ( изюм) "" Малояр"". сумма 79450,00,В том числе НДС 20%,13241,67, **сахар** песок сумма 250000,00 в т. ч ндс 10% 22727,27руб."
1312,2025-10-06,debit,325440.0,"ООО ""РАДУГА Н""",Закупки для производства,начинки / добавки,0.94,крупная сумма,"Оплата по счету № 452 от 06.10.2025. за виноград сушеный ( изюм) "" Малояр"". В том числе НДС 20%, 54240.00 руб."
