nomenclature_raw,общее_название,актуальность,срок_годности_дней,себестоимость_за_единицу,первая_продажа,последняя_продажа,комментарий
"Изделия хлебобулочные ""Кокетка "" с ванильной начинкой и изюмом 1,0 кг",Ажурная коса,да,30,150,2025-07-22,2026-01-29,
"Изделия хлебобулочные ""ЭТЮД "" с ванильной начинкой и изюмом 1,0 кг",Ажурная коса,да,30,150,2025-11-24,2026-06-22,
"Изделия хлебобулочные ""ЭТЮД"" с начинкой со вкусом пломбира 1,0 кг",Ажурная коса,да,30,150,2026-06-15,2026-06-22,
"Изделия хлебобулочные""Вкусняшки ""с ванильной начинкой и изюмом 1,0 кг",Ажурная коса,да,30,150,2026-01-30,2026-06-19,
"Изделия хлебобулочные маффин ""Каприз"" 0,8 кг",Кекс с изюмом,да,40,140,2025-05-06,2025-06-19,
"Изделия хлебобулочные маффин ""Каприз"" с изюмом 1,0 кг",Кекс с изюмом,да,40,140,2025-06-25,2026-06-04,
"Изделия хлебобулочные""Мадлены "" ассорти с начинкой 1,0 кг",Кекс с изюмом,да,40,140,2025-05-06,2026-05-26,
"Хлебобулочное изделие бисквитное ""Мадлены""с изюмом 1,0",Кекс с изюмом,да,40,140,2025-05-14,2026-06-16,
"Изделия хлебобулочные ""Мечта"" 1,0 кг",Мечта,нет,,,2025-06-02,2025-06-30,
"Изделия хлебобулочные ""НЕЖЕНКА"" с ванильной начинкой и изюмом 1,0 кг",Неженка,нет,,,2025-08-29,2025-12-30,
"Изделия хлебобулочные ""МАЭСТРО"" песочное 1,0 кг",Песочное печенье,да,40,150,2025-05-14,2026-06-05,
"Изделия хлебобулочные ""Улыбка "" песочное 1,0 кг",Песочное печенье,да,40,150,2025-05-06,2026-06-19,
"Сдобное хлебобулочное изделие ""ДИВНОЕ""с начинкой 1,0 кг",Песочное печенье,да,40,150,2025-05-07,2026-05-22,
"Сладости восточные ""Сладкоежка"" с цедрой апельсина 1,0",Сладкоежка,нет,,,2025-05-06,2025-05-12,
"Пирожное слоеное ""Сувенир"" 1,0 кг",Сувенир,нет,,,2025-06-25,2025-08-06,
"Сладости восточные ""Шакер-Чурек"" 1,0 кг",Шакер-Чурек,нет,,,2025-05-06,2025-06-04,
